|[2, 1]1|,502,0,0,,19
|[7, 8]2|,33,0,0.7133838383838386,,6
[2]1,6,0,0,,7
|[9, 10, 11]2|,1,0,1.0,,10
[0]1,0,0,0,,0
[1]1,0,0,0,,0
[2]1,0,0,0,,0
[3]1,1,0,0,,0
|[4, 0]1|,0,0,0,,0
|[4, 1]1|,0,0,0,,0
|[4, 2]1|,0,0,0,,0
|[4, 3]1|,0,0,0,,0
|[4, 5]1|,0,0,0,,0
[5]1,0,0,0,,0
|[9, 10, 12]2|,1,0,1.0,,38
[0]1,0,0,0,,0
[1]1,0,0,0,,0
[2]1,0,0,0,,0
|[3, 0]1|,0,0,0,,0
|[3, 1]1|,0,0,0,,0
|[3, 2]1|,0,0,0,,0
|[3, 4]1|,0,0,0,,0
|[3, 5]1|,0,0,0,,0
|[4, 0]1|,0,0,0,,0
|[4, 1]1|,0,0,0,,0
|[4, 2]1|,0,0,0,,0
|[4, 3, 0]1|,0,0,0,,0
|[4, 3, 1]1|,0,0,0,,0
|[4, 3, 2]1|,0,0,0,,0
|[4, 3, 4]1|,0,0,0,,0
|[4, 3, 5, 0]1|,0,0,0,,0
|[4, 3, 5, 1]1|,0,0,0,,0
|[4, 3, 5, 2]1|,0,0,0,,0
|[4, 3, 5, 3]1|,0,0,0,,0
|[4, 3, 5, 4, 0]1|,0,0,0,,0
|[4, 3, 5, 4, 1]1|,0,0,0,,0
|[4, 3, 5, 4, 2]1|,0,0,0,,0
|[4, 3, 5, 4, 3]1|,0,0,0,,0
|[4, 3, 5, 4, 5]1|,0,0,0,,0
|[4, 3, 5, 5, 0]1|,0,0,0,,0
|[4, 3, 5, 5, 1]1|,0,0,0,,0
|[4, 3, 5, 5, 2]1|,1,0,0,,0
|[4, 3, 5, 5, 3]1|,0,0,0,,0
|[4, 3, 5, 5, 4, 0]1|,0,0,0,,0
|[4, 3, 5, 5, 4, 1]1|,0,0,0,,0
|[4, 3, 5, 5, 4, 2]1|,0,0,0,,0
|[4, 3, 5, 5, 4, 3]1|,0,0,0,,0
|[4, 3, 5, 5, 4, 5, 0]1|,0,0,0,,0
|[4, 3, 5, 5, 4, 5, 1]1|,0,0,0,,0
|[4, 3, 5, 5, 4, 5, 2]1|,0,0,0,,0
|[4, 3, 5, 5, 4, 5, 3]1|,0,0,0,,0
|[4, 5]1|,0,0,0,,0
[5]1,0,0,0,,0
|[9, 11]2|,1,0,0.4166666666666667,,38
[0]1,0,0,0,,0
[1]1,0,0,0,,0
[2]1,0,0,0,,0
|[3, 0]1|,0,0,0,,0
|[3, 1]1|,0,0,0,,0
|[3, 2]1|,0,0,0,,0
|[3, 4]1|,0,0,0,,0
|[3, 5]1|,0,0,0,,0
|[4, 0]1|,0,0,0,,0
|[4, 1]1|,0,0,0,,0
|[4, 2]1|,0,0,0,,0
|[4, 3, 0]1|,0,0,0,,0
|[4, 3, 1]1|,0,0,0,,0
|[4, 3, 2]1|,0,0,0,,0
|[4, 3, 4]1|,0,0,0,,0
|[4, 3, 5, 0]1|,0,0,0,,0
|[4, 3, 5, 1]1|,0,0,0,,0
|[4, 3, 5, 2]1|,0,0,0,,0
|[4, 3, 5, 3]1|,0,0,0,,0
|[4, 3, 5, 4, 0]1|,0,0,0,,0
