[1]1,10083,0,0,,5
[7]2,192,0,0.13606770833333337,,16
|[0, 1]1|,12,0,0,,4
[8]2,2,0,-0.09375,,4
[2]1,1,0,0,,0
[3]1,1,0,0,,6
[7]2,0,0,0,,0
[8]2,1,0,0.020833333333333332,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[4]1,0,0,0,,0
[5]1,0,0,0,,0
[9]2,4,0,0.21875,,4
[2]1,1,0,0,,0
[3]1,1,0,0,,6
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,1,0,-0.10416666666666667,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[4]1,1,0,0,,10
[7]2,0,0,0,,0
[8]2,0,0,0,,0
|[10, 7]2|,1,0,0.10416666666666667,,0
|[10, 8]2|,0,0,0,,0
|[10, 11, 7]2|,0,0,0,,0
|[10, 11, 8]2|,0,0,0,,0
|[10, 11, 12]2|,0,0,0,,0
|[10, 12]2|,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[5]1,0,0,0,,0
[10]2,3,0,0.13194444444444445,,4
[2]1,1,0,0,,18
[7]2,0,0,0,,0
[8]2,0,0,0,,0
|[9, 7]2|,0,0,0,,0
|[9, 8]2|,0,0,0,,0
|[9, 10]2|,0,0,0,,0
|[9, 11]2|,0,0,0,,0
|[9, 12]2|,0,0,0,,0
[10]2,0,0,0,,0
|[11, 7]2|,0,0,0,,0
|[11, 8]2|,0,0,0,,0
|[11, 9, 7]2|,0,0,0,,0
|[11, 9, 8]2|,0,0,0,,0
|[11, 9, 10]2|,0,0,0,,0
|[11, 9, 11]2|,1,0,0.1875,,0
|[11, 9, 12]2|,0,0,0,,0
|[11, 10]2|,0,0,0,,0
|[11, 12]2|,0,0,0,,0
[12]2,0,0,0,,0
[3]1,1,0,0,,13
[7]2,0,0,0,,0
[8]2,0,0,0,,0
|[9, 7]2|,0,0,0,,0
|[9, 8]2|,0,0,0,,0
|[9, 10]2|,0,0,0,,0
|[9, 11, 7]2|,1,0,0.14583333333333334,,0
|[9, 11, 8]2|,0,0,0,,0
|[9, 11, 10]2|,0,0,0,,0
|[9, 11, 12]2|,0,0,0,,0
|[9, 12]2|,0,0,0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[4]1,0,0,0,,0
[5]1,1,0,0,,0
[12]2,3,0,0.07638888888888888,,6
[0]1,1,0,0,,0
[1]1,1,0,0,,4
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[9]2,1,0,0.0625,,0
[10]2,0,0,0,,0
[2]1,1,0,0,,240
[7]2,0,0,0,,0
|[8, 7]2|,0,0,0,,0
|[8, 9]2|,0,0,0,,0
|[8, 10]2|,0,0,0,,0
|[8, 11, 7]2|,0,0,0,,0
|[8, 11, 9]2|,0,0,0,,0
|[8, 11, 10]2|,0,0,0,,0
|[8, 11, 12]2|,0,0,0,,0
|[8, 12]2|,0,0,0,,0
|[9, 7]2|,0,0,0,,0
|[9, 8, 7]2|,0,0,0,,0
|[9, 8, 9]2|,0,0,0,,0
|[9, 8, 10]2|,0,0,0,,0
|[9, 8, 11]2|,0,0,0,,0
|[9, 8, 12]2|,0,0,0,,0
|[9, 10]2|,0,0,0,,0
|[9, 11, 7]2|,0,0,0,,0
|[9, 11, 8, 7]2|,0,0,0,,0
|[9, 11, 8, 9]2|,0,0,0,,0
|[9, 11, 8, 10]2|,0,0,0,,0
|[9, 11, 8, 11]2|,0,0,0,,0
|[9, 11, 8, 12]2|,0,0,0,,0
|[9, 11, 10]2|,0,0,0,,0
|[9, 11, 12]2|,0,0,0,,0
|[9, 12]2|,0,0,0,,0
|[10, 7]2|,0,0,0,,0
|[10, 8, 7]2|,0,0,0,,0
|[10, 8, 9]2|,0,0,0,,0
|[10, 8, 10]2|,0,0,0,,0
|[10, 8, 11]2|,0,0,0,,0
|[10, 8, 12]2|,0,0,0,,0
|[10, 9, 7]2|,0,0,0,,0
|[10, 9, 8, 7]2|,0,0,0,,0
|[10, 9, 8, 9]2|,0,0,0,,0
|[10, 9, 8, 10]2|,0,0,0,,0
|[10, 9, 8, 11]2|,0,0,0,,0
|[10, 9, 8, 12]2|,0,0,0,,0
|[10, 9, 10]2|,0,0,0,,0
|[10, 9, 11]2|,0,0,0,,0
|[10, 9, 12]2|,0,0,0,,0
|[10, 11, 7]2|,0,0,0,,0
|[10, 11, 8, 7]2|,0,0,0,,0
|[10, 11, 8, 9]2|,0,0,0,,0
|[10, 11, 8, 10]2|,0,0,0,,0
|[10, 11, 8, 11]2|,0,0,0,,0
|[10, 11, 8, 12]2|,0,0,0,,0
|[10, 11, 9, 7]2|,0,0,0,,0
|[10, 11, 9, 8, 7]2|,0,0,0,,0
|[10, 11, 9, 8, 9]2|,0,0,0,,0
|[10, 11, 9, 8, 10]2|,0,0,0,,0
|[10, 11, 9, 8, 11, 7]2|,0,0,0,,0
|[10, 11, 9, 8, 11, 9]2|,0,0,0,,0
|[10, 11, 9, 8, 11, 10]2|,0,0,0,,0
|[10, 11, 9, 8, 11, 12]2|,0,0,0,,0
|[10, 11, 9, 8, 12]2|,0,0,0,,0
|[10, 11, 9, 10]2|,0,0,0,,0
|[10, 11, 9, 11]2|,0,0,0,,0
|[10, 11, 9, 12]2|,0,0,0,,0
|[10, 11, 12]2|,0,0,0,,0
|[10, 12]2|,0,0,0,,0
[11]2,0,0,0,,0
|[12, 7]2|,0,0,0,,0
|[12, 8, 7]2|,0,0,0,,0
|[12, 8, 9]2|,0,0,0,,0
