[5]1,10280,0,0,,10
|[7, 8]2|,2092,0,0.22317160611854692,,11
[0]1,191,0,0,,10
|[9, 10]2|,20,0,0.33229166666666665,,10
[0]1,2,0,0,,2
[11]2,1,0,0.4791666666666667,,0
[12]2,1,0,0.5833333333333334,,8
[0]1,1,0,0,,0
[1]1,0,0,0,,0
[2]1,0,0,0,,0
|[4, 0]1|,0,0,0,,0
|[4, 1]1|,0,0,0,,0
|[4, 2]1|,0,0,0,,0
|[4, 5]1|,0,0,0,,0
[5]1,0,0,0,,0
[1]1,2,0,0,,3
[7]2,1,0,1.0,,4
[0]1,0,0,0,,0
[2]1,0,0,0,,0
[3]1,1,0,0,,0
[5]1,0,0,0,,0
[11]2,0,0,0,,0
[12]2,1,0,0.2708333333333333,,0
[2]1,2,0,0,,4
[7]2,1,0,-0.041666666666666664,,8
[0]1,0,0,0,,0
[1]1,0,0,0,,0
[3]1,0,0,0,,0
|[4, 0]1|,0,0,0,,0
|[4, 1]1|,0,0,0,,0
|[4, 3]1|,0,0,0,,0
|[4, 5]1|,1,0,0,,0
[5]1,0,0,0,,0
[8]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,1,0,0.2708333333333333,,0
[3]1,2,0,0,,4
[7]2,1,0,0.3958333333333333,,0
[8]2,1,0,0.041666666666666664,,8
[0]1,0,0,0,,0
[1]1,0,0,0,,0
[2]1,0,0,0,,0
|[4, 0]1|,0,0,0,,0
|[4, 1]1|,0,0,0,,0
|[4, 2]1|,0,0,0,,0
|[4, 5]1|,1,0,0,,0
[5]1,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[4]1,2,0,0,,2
[11]2,1,0,0.3333333333333333,,0
[12]2,1,0,0.2708333333333333,,5
[0]1,0,0,0,,0
[1]1,0,0,0,,0
[2]1,1,0,0,,0
[4]1,0,0,0,,0
[5]1,0,0,0,,0
|[5, 0]1|,2,0,0,,2
[11]2,1,0,1.0,,0
[12]2,1,0,1.0,,16
[0]1,0,0,0,,0
[1]1,0,0,0,,0
[2]1,0,0,0,,0
