,100,0,0,,20
black knight b8 -> c6,1,0,0.5,GameStatus.IN_PROGRESS,21
white knight b1 -> a3,1,0,0,GameStatus.IN_PROGRESS,0
white knight b1 -> c3,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> f3,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> h3,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h2,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn a2 -> a3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn a2 -> a4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn h4 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
black knight b8 -> a6,28,0,0.5271946367646335,GameStatus.IN_PROGRESS,21
white knight b1 -> a3,8,0,0,GameStatus.IN_PROGRESS,20
black rook a8 -> b8,1,0,0.5,GameStatus.IN_PROGRESS,21
white rook a1 -> b1,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> b1,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> c4,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> f3,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> h3,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h2,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
